epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,291.121,0.65464,0.6604,1.06366,0.90525,0.85852,0.86757,0.661,0.88962,0.98733,1.21745,0.000332991,0.000332991,0.0670339
2,575.301,0.53065,0.41912,0.97868,0.90576,0.89268,0.89259,0.68655,0.83903,0.73288,1.23598,0.000583042,0.000583042,0.0339506
3,861.242,0.49157,0.37685,0.95825,0.91592,0.89491,0.881,0.68586,0.82435,0.6903,1.23143,0.000749768,0.000749768,0.000784026
4,1147.79,0.46163,0.34627,0.94068,0.87883,0.88594,0.88244,0.69859,0.7443,0.63506,1.0834,0.000625038,0.000625038,0.000625038
5,1434.26,0.4343,0.32344,0.9278,0.924,0.90085,0.90639,0.71565,0.7823,0.63873,1.20723,0.00050005,0.00050005,0.00050005
6,1719.69,0.40972,0.3008,0.91824,0.92291,0.90184,0.89136,0.7141,0.77148,0.59071,1.16531,0.000375062,0.000375062,0.000375062
7,2008.76,0.38655,0.28159,0.9067,0.92067,0.89984,0.90837,0.74989,0.69602,0.57122,1.09577,0.000250075,0.000250075,0.000250075
8,2290.04,0.3672,0.26584,0.89854,0.92084,0.90602,0.90287,0.74161,0.71497,0.55105,1.09449,0.000125087,0.000125087,0.000125087
